1  143.668 ms (17 allocations: 38.15 MiB)
2  125.760 ms (17 allocations: 38.15 MiB)
3  120.972 ms (17 allocations: 38.15 MiB)
4  117.596 ms (17 allocations: 38.15 MiB)
5  127.283 ms (17 allocations: 38.15 MiB)
6  115.906 ms (17 allocations: 38.15 MiB)
7  115.547 ms (17 allocations: 38.15 MiB)
8  116.813 ms (17 allocations: 38.15 MiB)
9  132.176 ms (17 allocations: 38.15 MiB)
10  141.865 ms (17 allocations: 38.15 MiB)
11  138.435 ms (17 allocations: 38.15 MiB)
12  138.507 ms (17 allocations: 38.15 MiB)
13  121.695 ms (17 allocations: 38.15 MiB)
14  141.477 ms (17 allocations: 38.15 MiB)
15  138.602 ms (17 allocations: 38.15 MiB)
16  112.723 ms (17 allocations: 38.15 MiB)
17  126.823 ms (17 allocations: 38.15 MiB)
18  143.857 ms (17 allocations: 38.15 MiB)
19  132.840 ms (17 allocations: 38.15 MiB)
20  140.284 ms (17 allocations: 38.15 MiB)
21  141.120 ms (17 allocations: 38.15 MiB)
22  122.117 ms (17 allocations: 38.15 MiB)
23  130.808 ms (17 allocations: 38.15 MiB)
24  135.005 ms (17 allocations: 38.15 MiB)
25  133.614 ms (17 allocations: 38.15 MiB)
26  137.713 ms (17 allocations: 38.15 MiB)
27  139.707 ms (17 allocations: 38.15 MiB)
28  138.390 ms (17 allocations: 38.15 MiB)
29  142.832 ms (17 allocations: 38.15 MiB)
30  153.795 ms (17 allocations: 38.15 MiB)
31  134.628 ms (17 allocations: 38.15 MiB)
32  163.136 ms (17 allocations: 38.15 MiB)
