1  114.382 ms (17 allocations: 38.15 MiB)
2  109.142 ms (17 allocations: 38.15 MiB)
3  99.715 ms (17 allocations: 38.15 MiB)
4  103.995 ms (17 allocations: 38.15 MiB)
5  90.307 ms (17 allocations: 38.15 MiB)
6  87.732 ms (17 allocations: 38.15 MiB)
7  92.930 ms (17 allocations: 38.15 MiB)
8  96.168 ms (17 allocations: 38.15 MiB)
9  85.840 ms (17 allocations: 38.15 MiB)
10  91.905 ms (17 allocations: 38.15 MiB)
11  87.381 ms (17 allocations: 38.15 MiB)
12  98.118 ms (17 allocations: 38.15 MiB)
13  94.158 ms (17 allocations: 38.15 MiB)
14  97.293 ms (17 allocations: 38.15 MiB)
15  97.547 ms (17 allocations: 38.15 MiB)
16  98.388 ms (17 allocations: 38.15 MiB)
17  96.207 ms (17 allocations: 38.15 MiB)
18  90.164 ms (17 allocations: 38.15 MiB)
19  94.980 ms (17 allocations: 38.15 MiB)
20  92.199 ms (17 allocations: 38.15 MiB)
21  93.479 ms (17 allocations: 38.15 MiB)
22  100.648 ms (17 allocations: 38.15 MiB)
23  105.150 ms (17 allocations: 38.15 MiB)
24  94.623 ms (17 allocations: 38.15 MiB)
25  99.643 ms (17 allocations: 38.15 MiB)
26  98.431 ms (17 allocations: 38.15 MiB)
27  104.156 ms (17 allocations: 38.15 MiB)
28  93.626 ms (17 allocations: 38.15 MiB)
29  103.574 ms (17 allocations: 38.15 MiB)
30  89.260 ms (17 allocations: 38.15 MiB)
31  107.156 ms (17 allocations: 38.15 MiB)
32  96.806 ms (17 allocations: 38.15 MiB)
33  102.715 ms (17 allocations: 38.15 MiB)
34  110.038 ms (17 allocations: 38.15 MiB)
35  88.937 ms (17 allocations: 38.15 MiB)
36  106.516 ms (17 allocations: 38.15 MiB)
37  104.807 ms (17 allocations: 38.15 MiB)
38  94.484 ms (17 allocations: 38.15 MiB)
39  98.466 ms (17 allocations: 38.15 MiB)
40  102.936 ms (17 allocations: 38.15 MiB)
41  99.614 ms (17 allocations: 38.15 MiB)
42  103.911 ms (17 allocations: 38.15 MiB)
43  104.031 ms (17 allocations: 38.15 MiB)
44  100.345 ms (17 allocations: 38.15 MiB)
45  94.387 ms (17 allocations: 38.15 MiB)
46  101.305 ms (17 allocations: 38.15 MiB)
47  109.565 ms (17 allocations: 38.15 MiB)
48  94.070 ms (17 allocations: 38.15 MiB)
49  99.359 ms (17 allocations: 38.15 MiB)
50  101.618 ms (17 allocations: 38.15 MiB)
51  98.449 ms (17 allocations: 38.15 MiB)
52  103.918 ms (17 allocations: 38.15 MiB)
53  101.082 ms (17 allocations: 38.15 MiB)
54  95.587 ms (17 allocations: 38.15 MiB)
55  101.700 ms (17 allocations: 38.15 MiB)
56  104.479 ms (17 allocations: 38.15 MiB)
57  102.207 ms (17 allocations: 38.15 MiB)
58  108.371 ms (17 allocations: 38.15 MiB)
59  108.731 ms (17 allocations: 38.15 MiB)
60  99.090 ms (17 allocations: 38.15 MiB)
61  107.665 ms (17 allocations: 38.15 MiB)
62  93.337 ms (17 allocations: 38.15 MiB)
63  105.657 ms (17 allocations: 38.15 MiB)
64  107.053 ms (17 allocations: 38.15 MiB)
65  99.093 ms (17 allocations: 38.15 MiB)
66  108.005 ms (17 allocations: 38.15 MiB)
67  104.747 ms (17 allocations: 38.15 MiB)
68  110.287 ms (17 allocations: 38.15 MiB)
69  98.976 ms (17 allocations: 38.15 MiB)
70  111.089 ms (17 allocations: 38.15 MiB)
71  103.135 ms (17 allocations: 38.15 MiB)
72  103.636 ms (17 allocations: 38.15 MiB)
